epochs\htl\hta\hvl\hva
1.000000000000000000e+00	5.597999999999999643e-01	7.863999999999999879e-01	4.102000000000000091e-01	9.179000000000000492e-01
2.000000000000000000e+00	4.405999999999999917e-01	8.579999999999999849e-01	3.114999999999999991e-01	9.372000000000000330e-01
3.000000000000000000e+00	4.036000000000000143e-01	8.568000000000000060e-01	2.644000000000000239e-01	9.372000000000000330e-01
4.000000000000000000e+00	3.593999999999999972e-01	8.665000000000000480e-01	2.159999999999999976e-01	9.614000000000000323e-01
5.000000000000000000e+00	3.538000000000000034e-01	8.640999999999999792e-01	1.872999999999999943e-01	9.516999999999999904e-01
6.000000000000000000e+00	3.215999999999999970e-01	8.750000000000000000e-01	1.582000000000000073e-01	9.661999999999999478e-01
7.000000000000000000e+00	3.165999999999999925e-01	8.761999999999999789e-01	1.779999999999999916e-01	9.468999999999999639e-01
8.000000000000000000e+00	3.333999999999999742e-01	8.689000000000000057e-01	1.486999999999999988e-01	9.516999999999999904e-01
9.000000000000000000e+00	2.775000000000000244e-01	8.943999999999999728e-01	1.408000000000000085e-01	9.516999999999999904e-01
1.000000000000000000e+01	2.740000000000000213e-01	9.004999999999999671e-01	1.187000000000000000e-01	9.565000000000000169e-01
1.100000000000000000e+01	2.958000000000000074e-01	8.834999999999999520e-01	1.340000000000000080e-01	9.468999999999999639e-01
1.200000000000000000e+01	2.786000000000000143e-01	8.968000000000000416e-01	1.180999999999999966e-01	9.565000000000000169e-01
1.300000000000000000e+01	2.720000000000000195e-01	8.955999999999999517e-01	1.231000000000000011e-01	9.565000000000000169e-01
1.400000000000000000e+01	2.838999999999999857e-01	8.931999999999999940e-01	1.223999999999999949e-01	9.565000000000000169e-01
1.500000000000000000e+01	3.037000000000000255e-01	8.773999999999999577e-01	1.295000000000000040e-01	9.661999999999999478e-01
1.600000000000000000e+01	2.464999999999999969e-01	9.065999999999999615e-01	1.189999999999999947e-01	9.661999999999999478e-01
1.700000000000000000e+01	2.479000000000000092e-01	9.163000000000000034e-01	1.534999999999999976e-01	9.372000000000000330e-01
1.800000000000000000e+01	2.701000000000000068e-01	8.955999999999999517e-01	1.494999999999999940e-01	9.372000000000000330e-01
1.900000000000000000e+01	2.929999999999999827e-01	8.773999999999999577e-01	1.232000000000000040e-01	9.565000000000000169e-01
2.000000000000000000e+01	2.399000000000000021e-01	9.078000000000000513e-01	1.348000000000000032e-01	9.516999999999999904e-01
